timestamp,pitch,pitch_rate,error,integral,wheel_vel,control_output
7.260000,-0.100842,-0.042034,0.210842,0.000843,2.306616,2.306616
7.264000,-0.099354,-0.019087,0.209354,0.001681,2.362014,2.362014
7.268000,-0.100708,0.075107,0.210708,0.002524,2.452226,2.452226
7.272000,-0.103162,-0.270089,0.213162,0.003376,2.558277,2.558277
7.276000,-0.109370,-0.605706,0.219370,0.004254,2.708929,2.708929
7.280000,-0.115643,-0.036466,0.225643,0.005156,2.864619,2.864619
7.284000,-0.123323,1.203706,0.233323,0.006090,3.039721,3.039721
7.288000,-0.129833,1.634087,0.239833,0.007049,3.206270,3.206270
7.292000,-0.135825,0.907354,0.245825,0.008032,3.370836,3.370836
7.296000,-0.138855,-0.583686,0.248855,0.009028,3.506347,3.506347
7.300000,-0.139502,-0.815300,0.249502,0.010026,3.617963,3.617963
7.304000,-0.144830,-1.196514,0.254830,0.011045,3.782008,3.782008
7.308000,-0.147764,-0.750471,0.257764,0.012076,3.922485,3.922485
7.312000,-0.145826,-0.625417,0.255826,0.013099,4.011404,4.011404
7.316000,-0.146229,-0.471187,0.256229,0.014124,4.125930,4.125930
7.320000,-0.151058,0.562438,0.261058,0.015168,4.289512,4.289512
7.324000,-0.140031,1.021538,0.250031,0.016169,4.281654,4.281654
7.328000,-0.139458,1.347104,0.249458,0.017166,4.384840,4.384840
7.332000,-0.135974,0.599567,0.245974,0.018150,4.456094,4.456094
7.336000,-0.126673,-0.243965,0.236673,0.019097,4.462613,4.462613
7.340000,-0.119137,-0.665293,0.229137,0.020014,4.485264,4.485264
7.344000,-0.116427,-0.915859,0.226427,0.020919,4.557957,4.557957
7.348000,-0.102962,-0.220730,0.212962,0.021771,4.511758,4.511758
7.352000,-0.094905,-0.086786,0.204905,0.022591,4.519855,4.519855
7.356000,-0.080807,-0.565432,0.190807,0.023354,4.458619,4.458619
7.360000,-0.075631,-0.537199,0.185631,0.024097,4.489626,4.489626
7.364000,-0.067440,-0.526107,0.177440,0.024806,4.485159,4.485159
7.368000,-0.058377,-0.377480,0.168377,0.025480,4.467662,4.467662
7.372000,-0.048189,0.167215,0.158189,0.026113,4.434073,4.434073
7.376000,-0.035035,0.481818,0.145035,0.026693,4.363811,4.363811
7.380000,-0.029561,0.465619,0.139561,0.027251,4.372286,4.372286
7.384000,-0.022572,0.457818,0.132572,0.027781,4.361418,4.361418
7.388000,-0.016994,-0.112997,0.126994,0.028289,4.362771,4.362771
7.392000,-0.005875,-0.742836,0.115875,0.028753,4.300804,4.300804
7.396000,0.001070,-1.109388,0.108930,0.029188,4.279957,4.279957
7.400000,0.001887,-1.542982,0.108113,0.029621,4.322965,4.322965
7.404000,0.005675,-1.203870,0.104325,0.030038,4.332385,4.332385
7.408000,0.008987,-0.136195,0.101013,0.030442,4.345065,4.345065
7.412000,0.009851,0.548715,0.100149,0.030843,4.382797,4.382797
7.416000,0.011901,1.008611,0.098099,0.031235,4.406714,4.406714
7.420000,0.009993,0.499048,0.100007,0.031635,4.472785,4.472785
7.424000,0.008201,0.103533,0.101799,0.032042,4.537825,4.537825
7.428000,0.009252,-0.109844,0.100748,0.032445,4.572079,4.572079
7.432000,0.006670,-0.805112,0.103330,0.032859,4.645533,4.645533
7.436000,0.005613,-0.831269,0.104387,0.033276,4.703014,4.703014
7.440000,0.005306,-0.367023,0.104694,0.033695,4.752553,4.752553
7.444000,0.003606,-0.180359,0.106394,0.034121,4.817380,4.817380
7.448000,0.009059,0.881968,0.100941,0.034524,4.804504,4.804504
7.452000,0.005803,1.311126,0.104197,0.034941,4.885059,4.885059
7.456000,0.003098,1.421218,0.106902,0.035369,4.960590,4.960590
7.460000,0.008401,1.381103,0.101599,0.035775,4.949412,4.949412
7.464000,0.007358,1.087679,0.102642,0.036186,5.005893,5.005893
7.468000,0.010296,0.599131,0.099704,0.036585,5.019109,5.019109
7.472000,0.018585,0.489912,0.091415,0.036950,4.972739,4.972739
7.476000,0.022222,0.221956,0.087778,0.037301,4.974365,4.974365
7.480000,0.021361,0.563649,0.088639,0.037656,5.023714,5.023714
7.484000,0.033295,1.243520,0.076705,0.037963,4.933119,4.933119
7.488000,0.037756,1.461733,0.072244,0.038252,4.920036,4.920036
7.492000,0.044182,1.727182,0.065818,0.038515,4.883542,4.883542
7.496000,0.059843,2.034007,0.050157,0.038716,4.743423,4.743423
7.500000,0.068471,1.504571,0.041529,0.038882,4.674478,4.674478
7.504000,0.079990,0.597311,0.030010,0.039002,4.570289,4.570289
7.508000,0.088949,0.538157,0.021051,0.039086,4.489487,4.489487
7.512000,0.101334,-0.273815,0.008666,0.039121,4.367347,4.367347
7.516000,0.113711,-0.225076,-0.003711,0.039106,4.240277,4.240277
7.520000,0.121693,0.949736,-0.011693,0.039059,4.156173,4.156173
7.524000,0.127711,1.711833,-0.017711,0.038988,4.089870,4.089870
7.528000,0.154209,2.460367,-0.044209,0.038811,3.796528,3.796528
7.532000,0.160520,2.301927,-0.050520,0.038609,3.714162,3.714162
7.536000,0.163984,1.410302,-0.053984,0.038393,3.659564,3.659564
7.540000,0.162078,0.899324,-0.052078,0.038185,3.661441,3.661441
7.544000,0.163554,0.256180,-0.053554,0.037971,3.625997,3.625997
7.548000,0.166092,0.419177,-0.056092,0.037746,3.577725,3.577725
7.552000,0.166960,1.441994,-0.056960,0.037519,3.546235,3.546235
7.556000,0.163897,1.254339,-0.053897,0.037303,3.556928,3.556928
7.560000,0.164451,1.287100,-0.054451,0.037085,3.528642,3.528642
7.564000,0.161423,1.557248,-0.051423,0.036879,3.539053,3.539053
7.568000,0.159133,1.287679,-0.049133,0.036683,3.542171,3.542171
7.572000,0.155656,1.196189,-0.045656,0.036500,3.558909,3.558909
7.576000,0.159050,0.924921,-0.049050,0.036304,3.501609,3.501609
7.580000,0.159514,0.824934,-0.049514,0.036106,3.475219,3.475219
7.584000,0.156408,1.234710,-0.046408,0.035920,3.487675,3.487675
7.588000,0.153037,1.102369,-0.043037,0.035748,3.504037,3.504037
7.592000,0.156823,1.082199,-0.046823,0.035561,3.443259,3.443259
7.596000,0.154229,0.726055,-0.044229,0.035384,3.451083,3.451083
7.600000,0.152539,0.375463,-0.042539,0.035214,3.449889,3.449889
7.604000,0.150248,0.318691,-0.040248,0.035053,3.455879,3.455879
7.608000,0.145136,0.348980,-0.035136,0.034912,3.493593,3.493593
7.612000,0.141928,0.367203,-0.031928,0.034785,3.512309,3.512309
7.616000,0.139227,0.722007,-0.029227,0.034668,3.526750,3.526750
7.620000,0.135572,0.933975,-0.025572,0.034565,3.552768,3.552768
7.624000,0.139414,1.139878,-0.029414,0.034448,3.498231,3.498231
7.628000,0.137707,0.910219,-0.027707,0.034337,3.503337,3.503337
7.632000,0.141409,0.640297,-0.031409,0.034211,3.449983,3.449983
7.636000,0.145780,0.741815,-0.035780,0.034068,3.388178,3.388178
7.640000,0.147709,0.426503,-0.037709,0.033917,3.351640,3.351640
7.644000,0.159820,0.166744,-0.049820,0.033718,3.202988,3.202988
7.648000,0.168531,0.345731,-0.058531,0.033484,3.087329,3.087329
7.652000,0.184673,0.044447,-0.074673,0.033185,2.887105,2.887105
7.656000,0.193387,0.256062,-0.083387,0.032852,2.762225,2.762225
7.660000,0.196335,0.225555,-0.086335,0.032506,2.696806,2.696806
7.664000,0.213376,0.615035,-0.103376,0.032093,2.475496,2.475496
7.668000,0.228546,0.815736,-0.118546,0.031619,2.268246,2.268246
7.672000,0.240421,0.470075,-0.130421,0.031097,2.091045,2.091045
7.676000,0.249043,0.902328,-0.139043,0.030541,1.944418,1.944418
7.680000,0.257656,0.555595,-0.147656,0.029950,1.793946,1.793946
7.684000,0.266151,0.448809,-0.156151,0.029326,1.640849,1.640849
7.688000,0.282366,1.108242,-0.172366,0.028636,1.399439,1.399439
7.692000,0.289284,1.087998,-0.179284,0.027919,1.253289,1.253289
7.696000,0.299166,1.082821,-0.189166,0.027162,1.071291,1.071291
7.700000,0.306835,0.998420,-0.196835,0.026375,0.909139,0.909139
7.704000,0.309392,0.064159,-0.199392,0.025577,0.799309,0.799309
7.708000,0.310890,-0.058398,-0.200890,0.024774,0.699252,0.699252
7.712000,0.311794,0.166635,-0.201794,0.023967,0.604368,0.604368
7.716000,0.310426,0.363451,-0.200426,0.023165,0.533352,0.533352
7.720000,0.310921,0.855801,-0.200921,0.022361,0.441860,0.441860
7.724000,0.306494,1.256924,-0.196494,0.021575,0.403622,0.403622
7.728000,0.304368,0.968870,-0.194368,0.020798,0.341371,0.341371
7.732000,0.296974,0.833858,-0.186974,0.020050,0.337281,0.337281
7.736000,0.291398,0.596439,-0.181398,0.019324,0.315705,0.315705
7.740000,0.283297,0.349595,-0.173297,0.018631,0.323722,0.323722
7.744000,0.282880,0.386371,-0.172880,0.017940,0.250585,0.250585
7.748000,0.277794,0.299984,-0.167794,0.017269,0.228948,0.228948
7.752000,0.276565,0.551005,-0.166565,0.016602,0.167098,0.167098
7.756000,0.270980,0.892892,-0.160980,0.015958,0.153615,0.153615
7.760000,0.266149,0.924765,-0.156149,0.015334,0.134034,0.134034
7.764000,0.267659,1.216429,-0.157659,0.014703,0.047044,0.047044
7.768000,0.267197,1.037185,-0.157197,0.014074,-0.018529,-0.018529
7.772000,0.265907,0.888666,-0.155907,0.013451,-0.074633,-0.074633
7.776000,0.268119,0.677927,-0.158119,0.012818,-0.168403,-0.168403
7.780000,0.268514,0.473954,-0.158514,0.012184,-0.242854,-0.242854
7.784000,0.273841,0.511477,-0.163841,0.011529,-0.371281,-0.371281
7.788000,0.273045,0.666247,-0.163045,0.010877,-0.434451,-0.434451
7.792000,0.274628,0.710007,-0.164628,0.010218,-0.523427,-0.523427
7.796000,0.280440,0.635387,-0.170440,0.009536,-0.659219,-0.659219
7.800000,0.277580,0.866325,-0.167580,0.008866,-0.702155,-0.702155
7.804000,0.283566,0.729577,-0.173566,0.008172,-0.841060,-0.841060
7.808000,0.289571,0.684358,-0.179571,0.007454,-0.982262,-0.982262
7.812000,0.292486,0.560449,-0.182486,0.006724,-1.091880,-1.091880
7.816000,0.296604,0.694831,-0.186604,0.005977,-1.215897,-1.215897
7.820000,0.296907,0.632952,-0.186907,0.005230,-1.299854,-1.299854
7.824000,0.301150,0.548310,-0.191150,0.004465,-1.427305,-1.427305
7.828000,0.309785,0.867827,-0.199785,0.003666,-1.604485,-1.604485
7.832000,0.309937,0.903083,-0.199937,0.002866,-1.692085,-1.692085
7.836000,0.313563,1.156800,-0.203563,0.002052,-1.818121,-1.818121
7.840000,0.321684,0.859650,-0.211684,0.001205,-1.994903,-1.994903
7.844000,0.327302,0.700027,-0.217302,0.000336,-2.147376,-2.147376
7.848000,0.333207,0.780562,-0.223207,-0.000557,-2.305334,-2.305334
7.852000,0.344269,0.708716,-0.234269,-0.001494,-2.522163,-2.522163
7.856000,0.348506,0.461621,-0.238506,-0.002448,-2.668567,-2.668567
7.860000,0.353824,0.434085,-0.243824,-0.003423,-2.828849,-2.828849
7.864000,0.360696,0.537655,-0.250696,-0.004426,-3.008497,-3.008497
7.868000,0.362283,0.666480,-0.252283,-0.005435,-3.133238,-3.133238
7.872000,0.360543,0.161892,-0.250543,-0.006437,-3.222698,-3.222698
7.876000,0.360057,0.043761,-0.250057,-0.007438,-3.325798,-3.325798
7.880000,0.359636,0.185613,-0.249636,-0.008436,-3.429798,-3.429798
7.884000,0.356773,0.018515,-0.246773,-0.009423,-3.507223,-3.507223
7.888000,0.352263,-0.008657,-0.242263,-0.010392,-3.565886,-3.565886
7.892000,0.346661,-0.147477,-0.236661,-0.011339,-3.611172,-3.611172
7.896000,0.344927,0.000602,-0.234927,-0.012279,-3.696882,-3.696882
7.900000,0.342914,0.321169,-0.232914,-0.013210,-3.778842,-3.778842
7.904000,0.333762,0.040966,-0.223762,-0.014105,-3.781888,-3.781888
7.908000,0.330729,0.000175,-0.220729,-0.014988,-3.848631,-3.848631
7.912000,0.327851,0.439044,-0.217851,-0.015860,-3.915737,-3.915737
7.916000,0.319785,0.159395,-0.209785,-0.016699,-3.924820,-3.924820
7.920000,0.312664,-0.093244,-0.202664,-0.017510,-3.941200,-3.941200
7.924000,0.304379,-0.712196,-0.194379,-0.018287,-3.942033,-3.942033
7.928000,0.298225,-0.923014,-0.188225,-0.019040,-3.962901,-3.962901
7.932000,0.295972,-0.673978,-0.185972,-0.019784,-4.023829,-4.023829
7.936000,0.293710,-0.236103,-0.183710,-0.020519,-4.083330,-4.083330
7.940000,0.290651,0.509836,-0.180651,-0.021241,-4.132863,-4.132863
7.944000,0.293296,0.777695,-0.183296,-0.021974,-4.243323,-4.243323
7.948000,0.290666,1.239585,-0.180666,-0.022697,-4.296567,-4.296567
7.952000,0.290961,1.070181,-0.180961,-0.023421,-4.380642,-4.380642
7.956000,0.293082,0.500587,-0.183082,-0.024153,-4.484528,-4.484528
7.960000,0.295946,0.220943,-0.185946,-0.024897,-4.597048,-4.597048
7.964000,0.298051,-0.666077,-0.188051,-0.025649,-4.702107,-4.702107
7.968000,0.304687,-0.425757,-0.194687,-0.026428,-4.857419,-4.857419
7.972000,0.308486,-0.130497,-0.198486,-0.027222,-4.983946,-4.983946
7.976000,0.311671,-0.010884,-0.201671,-0.028029,-5.105187,-5.105187
7.980000,0.313742,0.963834,-0.203742,-0.028844,-5.215521,-5.215521
7.984000,0.321173,2.012651,-0.211173,-0.029688,-5.385397,-5.385397
7.988000,0.323599,1.899597,-0.213599,-0.030543,-5.503266,-5.503266
