timestamp,pitch,pitch_rate,error,integral,wheel_vel,control_output,wheel_r_pos,wheel_r_vel,wheel_r_torque,wheel_l_pos,wheel_l_vel,wheel_l_torque
15.108000,-0.152793,-0.141898,-0.199291,-0.000797,-2.626449,-2.626449,-547.074786,0.012552,-0.043429,-526.063180,0.046134,-0.075781
15.112000,-0.153825,-0.120909,-0.200322,-0.001598,-2.902806,-2.902806,-547.074786,0.012552,-0.043429,-526.063180,0.046134,-0.075781
15.116000,-0.153146,-0.090308,-0.199644,-0.002397,-3.159403,-3.159403,-547.077278,-0.517474,-3.274272,-526.065960,-0.600686,-3.231738
15.120000,-0.156139,-0.495084,-0.202695,-0.003208,-3.390715,-3.390715,-547.088016,-1.950701,-1.622180,-526.077081,-2.032723,-1.528403
15.124000,-0.163541,-0.864382,-0.210240,-0.004049,-3.691789,-3.691789,-547.098275,-2.309951,-1.487776,-526.087244,-2.328259,-1.408559
15.128000,-0.168482,-1.058013,-0.215215,-0.004910,-3.998341,-3.998341,-547.106616,-2.195743,-1.721403,-526.095873,-2.229288,-1.747588
15.132000,-0.174832,-2.422597,-0.221555,-0.005796,-4.130468,-4.130468,-547.117449,-2.723605,-1.499215,-526.105556,-2.665368,-1.539335
15.136000,-0.181892,-0.363349,-0.228663,-0.006710,-4.863099,-4.863099,-547.133269,-3.355430,-1.145401,-526.121279,-3.317334,-1.105528
15.140000,-0.183176,0.089926,-0.230012,-0.007631,-5.255363,-5.255363,-547.133269,-3.355430,-1.145401,-526.121279,-3.317334,-1.105528
15.144000,-0.188636,0.499624,-0.235491,-0.008573,-5.696891,-5.696891,-547.161647,-3.897725,-1.487929,-526.150712,-3.952836,-1.453537
15.148000,-0.192084,-1.215315,-0.238981,-0.009528,-5.757908,-5.757908,-547.183315,-4.642005,-1.084767,-526.171517,-4.657099,-1.015555
15.152000,-0.193928,-1.550202,-0.240898,-0.010492,-6.037149,-6.037149,-547.183315,-4.642005,-1.084767,-526.171517,-4.657099,-1.015555
15.156000,-0.194138,-2.054951,-0.241136,-0.011457,-6.267680,-6.267680,-547.224061,-5.014058,-1.093344,-526.213893,-5.102859,-1.049454
15.160000,-0.194460,-1.680728,-0.241473,-0.012422,-6.649254,-6.649254,-547.248605,-5.476046,-0.877698,-526.237862,-5.436801,-0.944305
15.164000,-0.193003,-0.372924,-0.240057,-0.013383,-7.166660,-7.166660,-547.270368,-5.729665,-0.877834,-526.260200,-5.799547,-0.802043
15.168000,-0.184329,-0.494860,-0.231415,-0.014308,-7.343062,-7.343062,-547.293857,-5.977793,-1.133090,-526.286086,-6.054592,-0.973819
15.172000,-0.178842,-0.591170,-0.225954,-0.015212,-7.554901,-7.554901,-547.319360,-6.398142,-1.287656,-526.311205,-6.450508,-1.244228
15.176000,-0.175198,-3.025253,-0.222352,-0.016102,-7.386941,-7.386941,-547.348505,-6.736662,-1.075504,-526.339009,-6.821784,-0.948381
15.180000,-0.174658,-3.785548,-0.221849,-0.016989,-7.540063,-7.540063,-547.383595,-6.921366,-0.872161,-526.375728,-7.079134,-0.780138
15.184000,-0.171546,-3.027170,-0.218760,-0.017864,-7.916309,-7.916309,-547.406797,-7.104223,-0.435381,-526.398546,-7.102082,-0.393993
15.188000,-0.168579,-2.787364,-0.215805,-0.018727,-8.202156,-8.202156,-547.434216,-7.221023,-0.505839,-526.426925,-7.193268,-0.530560
15.192000,-0.152776,-1.030914,-0.200014,-0.019527,-8.571282,-8.571282,-547.467581,-7.459770,-0.793342,-526.459522,-7.474813,-0.757713
15.196000,-0.148171,-0.628282,-0.195437,-0.020309,-8.838867,-8.838867,-547.497685,-7.658161,-0.961021,-526.488668,-7.698749,-0.804197
15.200000,-0.141027,-1.164323,-0.188316,-0.021062,-8.907099,-8.907099,-547.526447,-7.805879,-1.306142,-526.517813,-7.868002,-1.113364
15.204000,-0.131404,-2.393433,-0.178710,-0.021777,-8.815207,-8.815207,-547.564413,-8.137891,-1.076117,-526.557026,-8.318602,-0.884503
15.208000,-0.125500,-3.750657,-0.172846,-0.022469,-8.738813,-8.738813,-547.594422,-8.405171,-0.900283,-526.588568,-8.481519,-0.709030
15.212000,-0.122547,-3.389522,-0.169916,-0.023148,-8.985939,-8.985939,-547.594422,-8.405171,-0.900283,-526.588568,-8.481519,-0.709030
15.216000,-0.111270,-1.598777,-0.158642,-0.023783,-9.361313,-9.361313,-547.661917,-8.559108,-0.344623,-526.654146,-8.420424,-0.429674
15.220000,-0.097245,-1.148413,-0.144619,-0.024361,-9.457593,-9.457593,-547.695473,-8.684810,-0.373564,-526.686839,-8.548804,-0.854406
15.224000,-0.084804,-1.900893,-0.132190,-0.024890,-9.352381,-9.352381,-547.738136,-8.915318,-0.856228,-526.729119,-8.862106,-0.858249
15.228000,-0.072942,-2.036741,-0.120356,-0.025371,-9.343733,-9.343733,-547.772363,-9.025323,-0.712155,-526.764017,-9.001692,-0.665420
15.232000,-0.053480,-2.640146,-0.100907,-0.025775,-9.138944,-9.138944,-547.804673,-8.942271,-0.611567,-526.795560,-8.954445,-0.720693
15.236000,-0.038355,-4.130300,-0.085774,-0.026118,-8.815538,-8.815538,-547.841584,-9.033884,-0.577181,-526.831416,-8.825505,-0.695976
15.240000,-0.020795,-3.819931,-0.068213,-0.026391,-8.746241,-8.746241,-547.875715,-8.943575,-0.272138,-526.866123,-8.905066,-0.451297
